日期,股票代码,开盘,最高,最低,收盘,昨日收盘,当日最大回撤,当日最大涨幅,当日盈利,3天开盘卖,3天收盘卖,5天开盘卖,5天收盘卖,10天开盘卖,10天收盘卖
2020-11-16,sh.600581,3.6000,3.7500,3.5800,3.6900,3.5600,-0.555555555555556,4.166666666666664,2.499999999999996,0.0,1.388888888888884,-1.111111111111112,1.388888888888884,,
2020-11-17,sz.300413,71.8000,72.0000,66.6000,69.5100,70.2000,-7.242339832869084,0.27855153203343014,-3.189415041782719,-3.8997214484679628,-2.047353760445681,-1.7827298050139293,-1.392757660167131,,
2020-11-17,sz.002099,9.1100,9.3300,8.5300,8.7000,8.8600,-6.36663007683864,2.414928649835353,-4.500548847420419,-6.36663007683864,-5.8177826564215085,-3.8419319429198646,-1.4270032930845116,,
2020-11-17,sh.688289,109.7000,110.5000,108.1200,108.6100,107.7400,-1.4402917046490413,0.7292616226071077,-0.9936189608021909,-0.8933454876937137,-2.807657247037373,1.175934366453958,2.0966271649954393,,
2020-11-17,sz.000063,35.1700,35.5500,34.3300,35.5000,35.1700,-2.3883992038669417,1.080466306511218,0.9382996872334327,0.6539664486778415,3.2129655956781216,3.2129655956781216,1.6491327836224006,,
2020-11-17,sh.603535,43.9800,43.9800,41.1300,41.3900,43.2500,-6.480218281036822,0.0,-5.889040472942239,-7.68531150522964,-5.707139608913138,-6.093678944974989,-8.935879945429742,,
2020-11-18,sh.600438,29.9100,30.5000,28.9000,29.6300,29.4800,-3.3767970578401925,1.9725844199264455,-0.9361417586091646,3.6442661317285183,7.2216649949849545,7.990638582413899,7.1882313607489206,,
2020-11-18,sz.000813,6.8200,7.1000,6.1400,6.4200,6.8200,-9.970674486803526,4.1055718475073215,-5.865102639296192,-7.62463343108505,-1.9061583577712593,-3.079178885630498,-5.425219941348976,,
2020-11-19,sz.000966,3.9800,3.9800,3.8000,3.8300,3.7300,-4.522613065326636,0.0,-3.7688442211055255,-4.020100502512566,-4.271356783919596,,,,
2020-11-19,sh.603214,30.4000,31.7000,30.3500,31.3400,30.2400,-0.16447368421051697,4.276315789473686,3.092105263157899,1.5460526315789553,1.513157894736845,,,,
2020-11-19,sz.002434,10.8800,10.9100,10.3600,10.5300,10.7300,-4.779411764705895,0.27573529411764114,-3.216911764705895,-1.1029411764705972,-2.2058823529411784,,,,
2020-11-24,sz.002735,44.9800,45.1600,42.9000,43.8000,44.2800,-4.624277456647396,0.4001778568252551,-2.62338817252112,,,,,,
2020-11-24,sz.002465,12.0700,12.3700,12.0700,12.2500,11.8800,0.0,2.4855012427506127,1.4913007456503704,,,,,,
2020-11-24,sh.603713,119.4800,122.1700,117.0500,121.9000,118.6500,-2.0338131904921384,2.2514228322731817,2.0254435888851705,,,,,,
2020-11-24,sz.300617,42.6700,44.1800,42.4500,43.6500,42.1600,-0.5155847199437517,3.5387860323412186,2.296695570658535,,,,,,
,,,,,,,,成功率,0.358974358974359,0.3076923076923077,0.28205128205128205,0.28205128205128205,0.3076923076923077,0.10256410256410256,0.1282051282051282
