日期,股票代码,开盘,最高,最低,收盘,昨日收盘,当日最大回撤,当日最大涨幅,当日盈利,3天开盘卖,3天收盘卖,5天开盘卖,5天收盘卖,10天开盘卖,10天收盘卖
2020-11-06,sz.000969,7.0500,7.2800,6.7400,6.9000,6.6500,-4.39716312056737,3.2624113475177365,-2.1276595744680775,-0.8510638297872285,-2.8368794326241162,-3.262411347517724,-3.9716312056737624,0.0,-0.7092198581560258
2020-11-06,sh.603909,18.7000,19.1600,18.0200,18.5000,17.7000,-3.636363636363635,2.4598930481283467,-1.0695187165775364,-2.6737967914438503,-2.5133689839572133,-2.2459893048128245,-1.8181818181818175,-0.3208556149732552,3.475935828877017
2020-11-06,sh.603456,31.3300,31.4800,30.0100,31.1700,31.1800,-4.213214171720385,0.47877433769550637,-0.5106926268751887,-0.0957548675390922,-0.7660389403127943,-4.436642195978287,-4.308969039259488,-9.607405043089683,-9.224385572933283
2020-11-09,sz.300569,18.1800,19.3200,17.5200,17.7500,16.1500,-3.630363036303631,6.270627062706274,-2.3652365236523636,-8.08580858085808,-10.671067106710678,-4.290429042904297,-5.555555555555545,4.510451045104512,1.8151815181518254
2020-11-09,sh.603333,8.0000,8.0000,8.0000,8.0000,7.2700,0.0,0.0,0.0,20.999999999999996,20.999999999999996,2.499999999999991,-2.0000000000000018,-0.24999999999999467,-1.375000000000004
2020-11-09,sz.300183,20.3000,20.6200,19.8500,20.2000,19.5200,-2.216748768472903,1.576354679802957,-0.49261083743843065,-5.91133004926108,-9.26108374384236,-10.344827586206904,-10.837438423645317,-6.945812807881773,-7.832512315270936
2020-11-09,sh.600486,98.0000,102.4100,94.2500,97.3700,93.1000,-3.826530612244898,4.4999999999999964,-0.6428571428571382,3.112244897959181,5.122448979591833,7.704081632653059,9.183673469387756,13.551020408163266,18.09183673469388
2020-11-09,sz.002709,73.0100,76.6600,69.0200,73.8000,72.2800,-5.465004793863867,4.999315162306521,1.0820435556772936,-0.5615669086426665,-0.013696753869339974,5.040405423914522,10.258868648130386,-1.64361046431996,1.7668812491439418
2020-11-09,sh.688189,60.4800,60.4800,55.9400,60.4800,50.4000,-7.506613756613755,0.0,0.0,-6.134259259259249,-10.995370370370368,-12.665343915343911,-13.210978835978828,-17.22883597883597,-16.832010582010582
2020-11-09,sz.300271,25.2000,27.1500,24.8300,25.6900,24.0800,-1.4682539682539721,7.738095238095236,1.9444444444444524,0.039682539682545884,-2.341269841269841,-3.3730158730158646,-3.333333333333333,-4.16666666666667,-3.4523809523809565
2020-11-10,sh.603007,7.0200,7.0200,6.3800,7.0200,6.3800,-9.116809116809113,0.0,0.0,2.991452991453004,-1.139601139601128,-6.837606837606832,-3.8461538461538405,-6.98005698005697,-6.837606837606832
2020-11-10,sh.600699,26.0900,26.6400,25.5700,25.9500,26.0600,-1.9931008049060928,2.1080873898045254,-0.5366040628593353,-1.8014564967420423,1.3031812955155226,-0.3832886163281005,3.756228440015333,2.184745113070143,-0.26830203142966763
2020-11-10,sh.601717,11.6500,12.6500,11.5100,12.5800,11.6000,-1.2017167381974296,8.583690987124463,7.982832618025748,4.7210300429184455,5.32188841201716,4.635193133047203,6.008583690987118,3.8626609442060023,1.1158798283261717
2020-11-10,sz.000668,17.5600,17.5600,15.9000,16.0400,17.1200,-9.453302961275618,0.0,-8.656036446469246,-9.7380410022779,-10.421412300683363,-9.282460136674255,-7.630979498861048,-7.630979498861048,-9.168564920273345
2020-11-12,sz.300442,32.0200,32.0200,32.0200,32.0200,26.6800,0.0,0.0,0.0,21.79887570268581,19.987507807620233,29.950031230480935,31.386633354153645,,
2020-11-12,sz.000016,6.9000,7.3200,6.8300,7.0400,6.6500,-1.0144927536231925,6.086956521739129,2.028985507246372,-1.7391304347826102,-1.1594202898550734,-3.4782608695652204,-3.623188405797101,,
2020-11-12,sz.300624,60.0100,60.5000,58.3800,59.6100,59.5000,-2.716213964339269,0.8165305782369638,-0.6665555740709859,-0.7165472421263118,-1.0164972504582561,-3.5494084319280046,-3.9326778870188295,,
2020-11-13,sz.000990,14.0000,14.4800,13.7200,13.7800,13.7600,-1.9999999999999953,3.4285714285714315,-1.571428571428576,-2.3571428571428577,-4.428571428571423,-4.142857142857143,-4.2142857142857135,,
2020-11-13,sz.300108,5.0000,5.0300,4.6500,5.0300,4.1900,-6.999999999999993,0.600000000000005,0.600000000000005,-0.3999999999999915,4.199999999999999,4.0000000000000036,5.199999999999996,,
2020-11-13,sz.300678,27.4100,29.1500,26.9500,28.7500,27.8100,-1.6782196278730421,6.348048157606707,4.888726742064939,2.8091937249179115,-4.013133892739881,-8.427581174753735,-6.457497263772344,,
2020-11-13,sz.002465,11.5800,11.7700,11.4300,11.7200,11.3800,-1.2953367875647699,1.640759930915367,1.2089810017271205,1.0362694300518067,0.0,1.9861830742659794,3.454231433506048,,
2020-11-16,sz.002856,18.9400,19.2300,17.0600,17.2600,17.8400,-9.926082365364321,1.531151003167894,-8.870116156282997,-6.652587117212257,-7.972544878563895,-8.025343189017947,-10.718057022175296,,
2020-11-16,sz.002553,7.4800,7.4800,6.9800,7.0100,6.8000,-6.684491978609625,0.0,-6.283422459893056,5.614973262032084,13.36898395721925,36.09625668449197,37.16577540106951,,
2020-11-16,sz.002623,45.6600,47.7000,45.1800,47.7000,43.3600,-1.0512483574244347,4.467805519053891,4.467805519053891,-2.343407796758636,-1.6644765659220282,-1.6644765659220282,-2.781427945685493,,
